code_experimentation,debitCO2_g,elapsedtime_s
PR06-01-23F01,0.145714,363060
PR06-01-23F01,0.134279,364260
PR06-01-23F01,0.148952,365460
PR06-01-23F01,0.146571,366720
PR06-01-23F01,0.150263,367920
PR06-01-23F01,0.14708,369120
PR06-01-23F01,0.146348,370320
PR06-01-23F01,0.148084,371520
PR06-01-23F01,0.133238,372720
PR06-01-23F01,0.145034,373920
PR06-01-23F01,0.141593,375120
PR06-01-23F01,0.13826,376320
PR06-01-23F01,0.139208,377520
PR06-01-23F01,0.139549,378720
PR06-01-23F01,0.133089,379920
PR06-01-23F01,0.135727,381180
PR06-01-23F01,0.134769,382380
PR06-01-23F01,0.139339,383580
PR06-01-23F01,0.143758,384780
PR06-01-23F01,0.133496,385980
PR06-01-23F01,0.136322,388380
PR06-01-23F01,0.136292,389580
PR06-01-23F01,0.132,390780
PR06-01-23F01,0.134298,391980
PR06-01-23F01,0.136718,393240
PR06-01-23F01,0.134462,394440
PR06-01-23F01,0.134839,395640
PR06-01-23F01,0.133895,396840
PR06-01-23F01,0.133575,398040
PR06-01-23F01,0.133247,399240
PR06-01-23F01,0.130059,400440
PR06-01-23F01,0.13052,401640
PR06-01-23F01,0.13124,402840
PR06-01-23F01,0.129599,404040
PR06-01-23F01,0.132147,405240
PR06-01-23F01,0.130945,406440
PR06-01-23F01,0.131113,407640
PR06-01-23F01,0.128867,408900
PR06-01-23F01,0.132648,410100
PR06-01-23F01,0.124774,411420
PR06-01-23F01,0.128281,412620
PR06-01-23F01,0.130198,413820
PR06-01-23F01,0.127216,415020
PR06-01-23F01,0.126918,416280
PR06-01-23F01,0.125428,417480
PR06-01-23F01,0.127413,418680
PR06-01-23F01,0.12578,419880
PR06-01-23F01,0.130473,421080
PR06-01-23F01,0.126857,422280
PR06-01-23F01,0.126439,423480
PR06-01-23F01,0.128569,424680
PR06-01-23F01,0.117499,425940
PR06-01-23F01,0.11649,427140
PR06-01-23F01,0.128461,428400
PR06-01-23F01,0.121649,429600
PR06-01-23F01,0.120578,430800
PR06-01-23F01,0.121231,432000
PR06-01-23F01,0.119362,433200
PR06-01-23F01,0.120624,434400
PR06-01-23F01,0.117606,435600
PR06-01-23F01,0.120829,436800
PR06-01-23F01,0.122184,438000
PR06-01-23F01,0.120095,439260
PR06-01-23F01,0.15815,596400
PR06-01-23F01,0.183074,597600
PR06-01-23F01,0.105042,598800
PR06-01-23F01,0.11226,600000
PR06-01-23F01,0.09556,601200
PR06-01-23F01,0.104529,602400
PR06-01-23F01,0.107676,603600
PR06-01-23F01,0.113589,605880
PR06-01-23F01,0.114023,607740
PR06-01-23F02,0.027127,0
PR06-01-23F02,0.020582,1200
PR06-01-23F02,0.005996,2820
PR06-01-23F02,0.002157,5940
PR06-01-23F02,0.005595,8100
