code_experimentation,debitCO2_g,elapsedtime_s
PR13-10-23F13,0.203,558300
PR13-10-23F13,0.201,559500
PR13-10-23F13,0.197,560700
PR13-10-23F13,0.195,561900
PR13-10-23F13,0.192,563100
PR13-10-23F13,0.194,564300
PR13-10-23F13,0.199,565500
PR13-10-23F13,0.195,566700
PR13-10-23F13,0.191,567900
PR13-10-23F13,0.187,569100
PR13-10-23F13,0.191,570300
PR13-10-23F13,0.182,571500
PR13-10-23F13,0.189,572700
PR13-10-23F13,0.183,573900
PR13-10-23F13,0.182,575100
PR13-10-23F13,0.178,576300
PR13-10-23F13,0.181,577500
PR13-10-23F13,0.177,578700
PR13-10-23F13,0.182,579900
PR13-10-23F13,0.18,581100
PR13-10-23F13,0.178,582300
PR13-10-23F13,0.179,583500
PR13-10-23F13,0.174,584700
PR13-10-23F13,0.183,585900
PR13-10-23F13,0.176,587100
PR13-10-23F13,0.172,588300
PR13-10-23F13,0.177,589500
PR13-10-23F13,0.174,590700
PR13-10-23F13,0.168,591900
PR13-10-23F13,0.171,593100
PR13-10-23F13,0.177,594300
PR13-10-23F13,0.175,595500
PR13-10-23F13,0.172,596700
PR13-10-23F13,0.17,597900
PR13-10-23F13,0.169,599100
PR13-10-23F13,0.167,600300
PR13-10-23F13,0.163,601500
PR13-10-23F13,0.16,602700
PR13-10-23F13,0.159,603900
PR13-10-23F13,0.161,605100
PR13-10-23F13,0.154,606300
PR13-10-23F13,0.157,607500
PR13-10-23F13,0.161,608700
PR13-10-23F13,0.15,609900
PR13-10-23F13,0.151,611100
PR13-10-23F13,0.154,612300
PR13-10-23F13,0.155,613500
PR13-10-23F13,0.153,614700
PR13-10-23F13,0.148,615900
PR13-10-23F13,0.154,617100
PR13-10-23F13,0.148,618300
PR13-10-23F13,0.151,619500
PR13-10-23F13,0.15,620700
PR13-10-23F13,0.153,621900
PR13-10-23F13,0.148,623100
PR13-10-23F13,0.142,624300
PR13-10-23F13,0.148,625500
PR13-10-23F13,0.146,626700
PR13-10-23F13,0.143,627900
PR13-10-23F13,0.147,629100
PR13-10-23F13,0.142,630300
PR13-10-23F13,0.142,631500
PR13-10-23F13,0.145,632700
PR13-10-23F13,0.143,633900
PR13-10-23F13,0.14,635100
PR13-10-23F13,0.143,636300
PR13-10-23F13,0.136,637500
PR13-10-23F13,0.14,638700
PR13-10-23F13,0.137,639900
PR13-10-23F13,0.138,641100
PR13-10-23F13,0.141,642300
PR13-10-23F13,0.136,643500
PR13-10-23F13,0.14,644700
PR13-10-23F13,0.139,645900
PR13-10-23F13,0.136,647100
PR13-10-23F13,0.133,648300
PR13-10-23F13,0.132,649500
PR13-10-23F13,0.134,650700
PR13-10-23F13,0.126,651900
PR13-10-23F13,0.132,653100
PR13-10-23F13,0.13,654300
PR13-10-23F13,0.134,655500
PR13-10-23F13,0.128,656700
PR13-10-23F13,0.123,657900
PR13-10-23F13,0.13,659100
PR13-10-23F13,0.125,660300
PR13-10-23F13,0.131,661500
PR13-10-23F13,0.129,662700
PR13-10-23F13,0.126,663900
PR13-10-23F13,0.124,665100
PR13-10-23F13,0.123,666300
PR13-10-23F13,0.123,667500
PR13-10-23F13,0.125,668700
PR13-10-23F13,0.121,669900
PR13-10-23F13,0.125,671100
PR13-10-23F13,0.118,672300
PR13-10-23F13,0.123,673500
PR13-10-23F13,0.121,674700
PR13-10-23F13,0.119,675900
PR13-10-23F13,0.123,677100
PR13-10-23F13,0.117,678300
PR13-10-23F13,0.12,679500
PR13-10-23F13,0.119,680700
PR13-10-23F13,0.12,681900
PR13-10-23F13,0.121,683100
PR13-10-23F13,0.123,684300
PR13-10-23F13,0.119,685500
PR13-10-23F13,0.12,686760
PR13-10-23F13,0.11,687960
PR13-10-23F13,0.11,689160
PR13-10-23F13,0.11,690360
PR13-10-23F13,0.115,691560
PR13-10-23F13,0.111,692760
PR13-10-23F13,0.11,693960
PR13-10-23F13,0.108,695160
PR13-10-23F13,0.112,696360
PR13-10-23F13,0.111,697560
PR13-10-23F13,0.106,698760
PR13-10-23F13,0.108,699960
PR13-10-23F13,0.106,701160
PR13-10-23F13,0.11,702360
PR13-10-23F13,0.113,703560
PR13-10-23F13,0.106,704760
PR13-10-23F13,0.107,705960
PR13-10-23F13,0.106,707160
PR13-10-23F13,0.102,708360
PR13-10-23F13,0.106,709560
PR13-10-23F13,0.104,710760
PR13-10-23F13,0.104,711960
PR13-10-23F13,0.106,713160
PR13-10-23F13,0.104,714360
PR13-10-23F13,0.103,715560
PR13-10-23F13,0.107,716760
PR13-10-23F13,0.101,717960
PR13-10-23F13,0.104,719160
PR13-10-23F13,0.1,720360
PR13-10-23F13,0.107,721560
PR13-10-23F13,0.097,722760
PR13-10-23F13,0.103,723960
PR13-10-23F13,0.099,725160
PR13-10-23F13,0.099,726360
PR13-10-23F13,0.102,727560
PR13-10-23F13,0.103,728760
PR13-10-23F13,0.095,729960
PR13-10-23F13,0.102,731160
PR13-10-23F13,0.098,732360
PR13-10-23F13,0.098,733560
PR13-10-23F13,0.092,734760
PR13-10-23F13,0.094,735960
PR13-10-23F13,0.095,737160
PR13-10-23F13,0.097,738360
PR13-10-23F13,0.102,739560
PR13-10-23F13,0.092,740760
PR13-10-23F13,0.09,741960
PR13-10-23F13,0.094,743160
PR13-10-23F13,0.093,744360
PR13-10-23F13,0.093,745560
PR13-10-23F13,0.095,746760
PR13-10-23F13,0.09,747960
PR13-10-23F13,0.093,749160
PR13-10-23F13,0.093,750360
PR13-10-23F13,0.091,751560
PR13-10-23F13,0.089,752760
PR13-10-23F13,0.09,753960
PR13-10-23F13,0.093,755160
PR13-10-23F13,0.087,756360
PR13-10-23F13,0.09,757560
PR13-10-23F13,0.09,758760
PR13-10-23F13,0.088,759960
PR13-10-23F13,0.089,761160
PR13-10-23F13,0.093,762360
PR13-10-23F13,0.085,763560
PR13-10-23F13,0.089,764760
PR13-10-23F13,0.088,765960
PR13-10-23F13,0.087,767160
PR13-10-23F13,0.086,768360
PR13-10-23F13,0.087,769560
PR13-10-23F13,0.085,770760
PR13-10-23F13,0.087,771960
PR13-10-23F13,0.087,773160
PR13-10-23F13,0.082,774360
PR13-10-23F13,0.081,775560
PR13-10-23F13,0.082,776760
PR13-10-23F13,0.082,777960
PR13-10-23F13,0.083,779160
PR13-10-23F13,0.081,780360
PR13-10-23F13,0.088,781560
PR13-10-23F13,0.075,782760
PR13-10-23F13,0.081,783960
PR13-10-23F13,0.086,785160
PR13-10-23F13,0.077,786360
PR13-10-23F13,0.078,787560
PR13-10-23F13,0.08,788760
PR13-10-23F13,0.079,789960
PR13-10-23F13,0.079,791160
PR13-10-23F13,0.078,792360
PR13-10-23F13,0.08,793560
PR13-10-23F13,0.075,794760
PR13-10-23F13,0.076,795960
PR13-10-23F13,0.079,797160
PR13-10-23F13,0.077,798360
PR13-10-23F13,0.076,799560
PR13-10-23F13,0.083,800760
PR13-10-23F13,0.071,801960
PR13-10-23F13,0.078,803160
PR13-10-23F13,0.075,804360
PR13-10-23F13,0.076,805560
PR13-10-23F13,0.074,806760
PR13-10-23F13,0.073,807960
PR13-10-23F13,0.076,809160
PR13-10-23F13,0.074,810360
PR13-10-23F13,0.073,811560
PR13-10-23F13,0.075,812760
PR13-10-23F13,0.074,813960
PR13-10-23F13,0.076,815160
PR13-10-23F13,0.069,816360
PR13-10-23F13,0.073,817560
PR13-10-23F13,0.072,818760
PR13-10-23F13,0.075,819960
PR13-10-23F13,0.072,821160
PR13-10-23F13,0.063,822360
PR13-10-23F13,0.072,823560
PR13-10-23F13,0.071,824760
PR13-10-23F13,0.069,825960
PR13-10-23F13,0.073,827160
PR13-10-23F13,0.066,828360
PR13-10-23F13,0.067,829560
PR13-10-23F13,0.066,830760
PR13-10-23F13,0.066,831960
PR13-10-23F13,0.068,833160
PR13-10-23F13,0.074,834420
PR13-10-23F13,0.064,835620
PR13-10-23F13,0.064,836820
PR13-10-23F13,0.064,838020
PR13-10-23F13,0.072,839220
PR13-10-23F13,0.06,840420
PR13-10-23F13,0.067,841620
PR13-10-23F13,0.067,842820
PR13-10-23F13,0.065,844020
PR13-10-23F13,0.067,845220
PR13-10-23F13,0.062,846420
PR13-10-23F13,0.067,847620
PR13-10-23F13,0.062,848820
PR13-10-23F13,0.065,850020
PR13-10-23F13,0.062,851220
PR13-10-23F13,0.065,852420
PR13-10-23F13,0.063,853620
PR13-10-23F13,0.063,854820
PR13-10-23F13,0.061,856020
PR13-10-23F13,0.063,857220
PR13-10-23F13,0.063,858420
PR13-10-23F13,0.062,859620
PR13-10-23F13,0.061,860820
PR13-10-23F13,0.062,862020
PR13-10-23F13,0.064,863220
PR13-10-23F13,0.061,864420
PR13-10-23F13,0.052,865620
PR13-10-23F13,0.059,866820
PR13-10-23F13,0.065,868020
PR13-10-23F13,0.056,869220
PR13-10-23F13,0.06,870420
PR13-10-23F13,0.054,871620
PR13-10-23F13,0.065,872820
PR13-10-23F13,0.052,874020
PR13-10-23F13,0.058,875220
PR13-10-23F13,0.06,876420
PR13-10-23F13,0.06,877620
PR13-10-23F13,0.055,878820
PR13-10-23F13,0.057,880020
PR13-10-23F13,0.058,881220
PR13-10-23F13,0.057,882420
PR13-10-23F13,0.056,883620
PR13-10-23F13,0.056,884820
PR13-10-23F13,0.057,886020
PR13-10-23F13,0.061,887220
PR13-10-23F13,0.053,888420
PR13-10-23F13,0.052,889620
PR13-10-23F13,0.056,890820
PR13-10-23F13,0.056,892020
PR13-10-23F13,0.054,893220
PR13-10-23F13,0.056,894420
PR13-10-23F13,0.052,895620
PR13-10-23F13,0.051,896820
PR13-10-23F13,0.053,898020
PR13-10-23F13,0.054,899220
PR13-10-23F13,0.054,900420
PR13-10-23F13,0.057,901620
PR13-10-23F13,0.055,902820
PR13-10-23F13,0.05,904020
PR13-10-23F13,0.049,905220
PR13-10-23F13,0.05,906420
PR13-10-23F13,0.051,907620
PR13-10-23F13,0.058,908820
PR13-10-23F13,0.052,910020
PR13-10-23F13,0.051,911220
PR13-10-23F13,0.048,912420
PR13-10-23F13,0.047,913620
PR13-10-23F13,0.049,914820
PR13-10-23F13,0.049,916020
PR13-10-23F13,0.049,917220
PR13-10-23F13,0.05,918420
PR13-10-23F13,0.05,919620
PR13-10-23F13,0.048,920820
PR13-10-23F13,0.048,922020
PR13-10-23F13,0.052,923220
PR13-10-23F13,0.05,924420
PR13-10-23F13,0.039,925620
PR13-10-23F13,0.046,926820
PR13-10-23F13,0.048,928020
PR13-10-23F13,0.048,929220
PR13-10-23F13,0.054,930420
PR13-10-23F13,0.044,931620
PR13-10-23F13,0.045,932820
PR13-10-23F13,0.046,934020
PR13-10-23F13,0.045,935220
PR13-10-23F13,0.05,936420
PR13-10-23F13,0.044,937620
PR13-10-23F13,0.046,938820
PR13-10-23F13,0.045,940020
PR13-10-23F13,0.048,941220
PR13-10-23F13,0.047,942420
PR13-10-23F13,0.051,943620
PR13-10-23F13,0.036,944820
PR13-10-23F13,0.043,946020
PR13-10-23F13,0.046,947220
PR13-10-23F13,0.044,948420
PR13-10-23F13,0.046,949620
PR13-10-23F13,0.044,950820
PR13-10-23F13,0.045,952020
PR13-10-23F13,0.045,953220
PR13-10-23F13,0.048,954420
PR13-10-23F13,0.046,955620
PR13-10-23F13,0.041,956820
PR13-10-23F13,0.045,958020
PR13-10-23F13,0.045,959220
PR13-10-23F13,0.043,960420
PR13-10-23F13,0.044,961620
PR13-10-23F13,0.041,962820
PR13-10-23F13,0.039,964020
PR13-10-23F13,0.041,965220
PR13-10-23F13,0.042,966420
PR13-10-23F13,0.042,967620
PR13-10-23F13,0.041,968820
PR13-10-23F13,0.042,970020
PR13-10-23F13,0.043,971280
PR13-10-23F13,0.038,972480
PR13-10-23F13,0.042,973680
PR13-10-23F13,0.042,974880
PR13-10-23F13,0.042,976080
PR13-10-23F13,0.05,977280
PR13-10-23F13,0.032,978480
PR13-10-23F13,0.04,979680
PR13-10-23F13,0.038,980880
PR13-10-23F13,0.043,982080
PR13-10-23F13,0.042,983280
PR13-10-23F13,0.035,984480
PR13-10-23F13,0.04,985680
PR13-10-23F13,0.04,986880
PR13-10-23F13,0.04,988080
PR13-10-23F13,0.039,989280
PR13-10-23F13,0.037,990480
PR13-10-23F13,0.04,991680
PR13-10-23F13,0.04,992880
PR13-10-23F13,0.037,994080
PR13-10-23F13,0.038,995280
PR13-10-23F13,0.045,996480
PR13-10-23F13,0.042,997680
PR13-10-23F13,0.031,998880
PR13-10-23F13,0.041,1000080
PR13-10-23F13,0.028,1001280
PR13-10-23F13,0.037,1002480
PR13-10-23F13,0.039,1003680
PR13-10-23F13,0.039,1004880
PR13-10-23F13,0.037,1006080
PR13-10-23F13,0.019,1007280
PR13-10-23F13,0.035,1008480
PR13-10-23F13,0.017,1009680
PR13-10-23F13,0.02,1010880
PR13-10-23F13,0.034,1012080
PR13-10-23F13,0.03,1013280
PR13-10-23F13,0.02,1014480
PR13-10-23F13,0.033,1015680
PR13-10-23F13,0.012,1016880
PR13-10-23F13,0.027,1018080
PR13-10-23F13,0.018,1019280
PR13-10-23F13,0.028,1020480
PR13-10-23F13,0.024,1021680
PR13-10-23F13,0.028,1022880
PR13-10-23F13,0.016,1024080
PR13-10-23F13,0.027,1025280
PR13-10-23F13,0.033,1026480
PR13-10-23F13,0.025,1027680
PR13-10-23F13,0.013,1028880
PR13-10-23F13,0.02,1030080
PR13-10-23F13,0.025,1031280
PR13-10-23F13,0.035,1032480
PR13-10-23F13,0.027,1033680
PR13-10-23F13,0.017,1034880
PR13-10-23F13,0.03,1036080
PR13-10-23F13,0.023,1037280
PR13-10-23F13,0.026,1038480
PR13-10-23F13,0.027,1039680
PR13-10-23F13,0.023,1040880
PR13-10-23F13,0.032,1042080
PR13-10-23F13,0.017,1043280
PR13-10-23F13,0.012,1044480
PR13-10-23F13,0.027,1045680
PR13-10-23F13,0.029,1046880
PR13-10-23F13,0.007,1048080
PR13-10-23F13,0.023,1049280
PR13-10-23F13,0.023,1050480
PR13-10-23F13,0.027,1051680
PR13-10-23F13,0.023,1052880
PR13-10-23F13,0.009,1054080
PR13-10-23F13,0.021,1055280
PR13-10-23F13,0.018,1056480
PR13-10-23F13,0.019,1057680
PR13-10-23F13,0.006,1058880
PR13-10-23F13,0.022,1060080
PR13-10-23F13,0.02,1061280
PR13-10-23F13,0.009,1062480
PR13-10-23F13,0.016,1063680
PR13-10-23F13,0.023,1064880
PR13-10-23F13,0.001,1066080
PR13-10-23F13,0.019,1067280
PR13-10-23F13,0.019,1068480
PR13-10-23F13,0.014,1069680
PR13-10-23F13,0.025,1070880
PR13-10-23F13,0.03,1072080
PR13-10-23F13,0.018,1073280
PR13-10-23F13,0.026,1074480
PR13-10-23F13,0.026,1075680
PR13-10-23F13,0.017,1076880
PR13-10-23F13,-0.001,1078080
PR13-10-23F13,0.02,1079280
PR13-10-23F13,0.016,1080480
PR13-10-23F13,0.002,1081680
PR13-10-23F13,0.018,1082880
PR13-10-23F13,0.007,1084080
PR13-10-23F13,0.015,1085280
PR13-10-23F13,0.006,1086480
PR13-10-23F13,0.015,1087680
PR13-10-23F13,0.021,1088880
PR13-10-23F13,0.001,1090080
PR13-10-23F13,0.016,1091280
PR13-10-23F13,0.022,1092480
PR13-10-23F13,0.025,1093680
PR13-10-23F13,0.02,1094880
PR13-10-23F13,0.006,1096080
PR13-10-23F13,0.026,1097280
PR13-10-23F13,0.001,1098480
PR13-10-23F13,0.026,1099680
PR13-10-23F13,-0.001,1100880
PR13-10-23F13,0.022,1102080
PR13-10-23F13,0.001,1103280
PR13-10-23F13,0.019,1104480
PR13-10-23F13,0.005,1105680
PR13-10-23F13,0.025,1106880
PR13-10-23F13,0.014,1108080
PR13-10-23F13,0.014,1109280
PR13-10-23F13,0.004,1110480
PR13-10-23F13,0.025,1111680
PR13-10-23F13,-0.001,1112880
PR13-10-23F13,0.01,1114080
PR13-10-23F13,0.013,1115340
PR13-10-23F13,0.022,1116540
PR13-10-23F13,0.012,1117740
PR13-10-23F13,0.008,1118940
PR13-10-23F13,0.009,1120140
PR13-10-23F13,0.004,1121340
PR13-10-23F13,0.017,1122540
PR13-10-23F13,0.009,1123740
PR13-10-23F13,0.012,1124940
PR13-10-23F13,0.013,1126140
PR13-10-23F13,-0.002,1127340
PR13-10-23F13,0.019,1128540
PR13-10-23F13,0.007,1129740
PR13-10-23F13,0.014,1130940
PR13-10-23F13,0.018,1132140
PR13-10-23F13,0.001,1133340
PR13-10-23F13,0.011,1134540
PR13-10-23F13,0.018,1135740
PR13-10-23F13,0.001,1136940
PR13-10-23F13,0.019,1138140
PR13-10-23F13,0.003,1139340
PR13-10-23F13,0.014,1140540
PR13-10-23F13,0.019,1141740
PR13-10-23F13,0.01,1142940
PR13-10-23F13,0.006,1144140
PR13-10-23F13,0.009,1145340
PR13-10-23F13,0.013,1146540
PR13-10-23F13,0.017,1147740
PR13-10-23F13,0.001,1148940
PR13-10-23F13,0.012,1150140
PR13-10-23F13,0.01,1151340
PR13-10-23F13,0.011,1152540
PR13-10-23F13,0.01,1153740
PR13-10-23F13,0.011,1154940
PR13-10-23F13,0.013,1156140
PR13-10-23F13,0.008,1157340
PR13-10-23F13,0.005,1158540
PR13-10-23F13,0.016,1159740
PR13-10-23F13,0.019,1160940
PR13-10-23F13,0.005,1162140
PR13-10-23F13,0.011,1163340
PR13-10-23F13,0.003,1164540
PR13-10-23F13,0.019,1165740
PR13-10-23F13,0.018,1166940
PR13-10-23F13,0.012,1168140
PR13-10-23F13,0.006,1169340
PR13-10-23F13,0.012,1170540
PR13-10-23F13,0.013,1171740
PR13-10-23F13,0.017,1172940
PR13-10-23F13,0.014,1174140
PR13-10-23F13,0.004,1175340
PR13-10-23F13,0.008,1176540
PR13-10-23F13,0.006,1177740
PR13-10-23F13,0.013,1178940
PR13-10-23F13,0.008,1180140
PR13-10-23F13,0.021,1181340
PR13-10-23F13,0.012,1182540
PR13-10-23F13,0.008,1183740
PR13-10-23F13,0.007,1184940
PR13-10-23F13,0.006,1186140
PR13-10-23F13,0.005,1187340
PR13-10-23F13,0.011,1188540
PR13-10-23F13,0.019,1189740
PR13-10-23F13,0.004,1190940
PR13-10-23F13,0.005,1192140
PR13-10-23F13,0.014,1193340
PR13-10-23F13,0.011,1194540
PR13-10-23F13,0.018,1195740
PR13-10-23F13,0.004,1196940
PR13-10-23F13,0.006,1198140
PR13-10-23F13,0.013,1199340
PR13-10-23F13,0.006,1200540
PR13-10-23F13,0.001,1201740
PR13-10-23F13,0.008,1202940
PR13-10-23F13,0.028,1204140
PR13-10-23F13,0.003,1205340
PR13-10-23F13,0.013,1206540
PR13-10-23F13,0.005,1207740
PR13-10-23F13,0.008,1208940
PR13-10-23F13,0.015,1210140
PR13-10-23F13,0.003,1211340
PR13-10-23F13,0.012,1212540
PR13-10-23F13,0.007,1213740
PR13-10-23F13,0.005,1214940
PR13-10-23F13,0.022,1216140
PR13-10-23F13,0.012,1217340
PR13-10-23F13,0.01,1218540
PR13-10-23F13,0.006,1219740
PR13-10-23F13,0.011,1220940
PR13-10-23F13,0.011,1222140
PR13-10-23F13,0.012,1223340
PR13-10-23F13,0.015,1224540
PR13-10-23F13,0.003,1225740
PR13-10-23F13,0.007,1226940
